39539669;14128
10776594;72441
39098019;2339x
12119448;11245
32830281;56676
9642216;78754
19101757;78827
27131629;76792
36105103;44233
28161315;46867
42140501;248x5
24239488;21346
37623171;98861
41848264;23304
24153721;73123
28178774;46334
39528992;86375
40091715;34x27
17972034;15622
22929180;24334
42352432;58347
21483969;67347
28775198;22121
6256835;41733
45951722;37334
13135556;68442
39594467;84265
38744593;83449
28385492;30393
42078465;384x1
10672565;56236
44995674;47127
22196739;46159
28708235;x0332
11669348;65755
26790729;52117
12408556;22171
27973277;47222
24607458;17335
19726065;31812
19051950;21227
37964245;83181
11663015;11355
25781134;14332
35833908;12588
4196818;36974
36201669;95415
38091282;26452
41009231;19255
22970675;78331
606558;17622
28091471;18691
18356846;37357
39098026;59172
9116156;85701
28719528;72x74
41897316;72139
13029176;46786
39601836;22846
18697105;41656
28253120;67253
10043581;x9064
10442908;65379
37923355;85477
11427350;68775
19547713;6x844
28400805;38347
35818958;63547
28279763;67627
27540117;88863
37964246;79425
48910366;49
48910367;75657
48910368;47558
43015984;263x2
28587473;x9344
5195995;44373
48638279;0x214
43547963;4x046
49063308;1x232
48073684;333x1
49063309;4210x
9862636;17744
40210478;43x96
46495388;7639
5867730;09
2365054;9x000
3507755;5x53
47906779;64
49063311;6x27
11942553;5x8
49063312;406
41774642;08x80
49063313;0x003
42491825;428x0
2292280;4
38989497;15260
4268583;32151
40928241;2x121
16653753;9x764
48048687;90372
38177764;32112
43328946;x0342
40611289;7x134
42900953;60x61
42421604;x1044
38589960;76371
45919422;2324x
49063314;5x
39161081;8x35x
48907731;4x7
3432912;2
48843780;58x3x
48638276;0x3
49063315;9x
48843772;84x
49063316;3x5x
49063317;42x
49063318;9
49063319;0x
15281425;090
49063320;88725
38534517;64795
40950305;790x0
48073700;x9004
38687459;4x34x
49063321;27342
49063323;8306x
49063324;3
47207966;2x403
49063325;49x4
49063327;4x
44781665;465x3
49063328;0
48907718;9x34x
38778882;64795
47816689;6x95
49063330;8x
49063331;0
49063332;x0x99
49063333;0x
372889;228x5
49063335;2
49063338;0x3
49063339;9
49063342;4
49063344;7
49063345;8
49063346;3234x
49063347;0
49063348;6x5
49063349;53433
49063350;257x1
41331331;33194
42188816;16x29
42859702;169x2
49063351;x6214
48907726;620x1
4605369;735x4
36673039;x818x
49063352;65x36
42571344;x5108
49063354;314x2
48289891;31x42
49063355;x155x
40586587;7428x
9497904;3141x
28255632;4028x
28507849;300x9
49063356;31x64
45690688;169x
49063357;33922
49063358;24251
4756103;1x0x0
49063359;41x51
49063360;93114
49063361;4x750
1245695;4x915
49063362;12457
7978021;x0656
48672129;14x86
10097228;123113
41527397;520223
40426076;173574
39258076;79-7795
9969248;734242
6120805;353425
23071434;213317
23510411;754343
35565692;6-59857
26088983;237808
28618306;1107-89
44247406;492503
36038229;71-2630
19481844;59288/9
24813879;058450
28781680;6-35249
838709;2
47001767;64
14874565;45
25100044;74
47883674;07
46014026;73
47449125;0
46868769;40
48651759;9
45720168;5
48328266;6
1464385;6
41112084;0-32321
42184166;246222
41904000;463124
39522769;825852
39144616;121463
40538387;2-38291
48271262;5
48271383;5
48412654;7
45325909;634213
24932906;982
5443529;23313
45326474;4254
46478449;743762
44603314;993127
765635;0986
39319964;221201
32495062;210853
28562893;064576
41112087;2-23663
44442;007481
11298722;903360
25493266;53100-0
11180317;273488
39803394;9-10469
36744816;285750
13617008;0-86D29
45281777;0655
13456403;241113
14089810;6056-75
42717138;141393
35676943;436954
40212790;216475
40736792;3-95155
5809975;34-6224
10903046;6700-56
28707756;256404
40262712;723-607
28236796;90-3417
16502307;64-6142
47194779;542
39726201;523223
45951356;6431
532420;932
41903993;131134
39590054;400550
41192892;361134
9124;016633
42896;1031-78
249071;541343
10006290;30-0471
25879243;21030-6
25300120;70-1438
28642923;8-51109
352629;1074332
22995776;4556734
18157167;5958437
35874813;5804262
39246812;5677574
2152999;1688353
25820891;1457222
28543537;41/157-34
23360168;3724213
25194417;3337542
31768478;128-4281
35446471;3286431
10185990;2535171
20793440;1854255
26229906;3539676
30514896;4165641
40475069;1451623
33064454;8836264
40116255;4173351
43930068;6243147
42739318;5546413
39597539;6239284
38842838;2557745
41401465;6244553
3995870;2276412
21654597;5363464
42716806;2251155
36234693;4057-988
37886123;3/747-322
41655391;68-6778
40997734;47625
41611124;36-56
43338042;4323242
45528791;42433
9992835;5-537457
24735413;143-5313
26536957;3-555775
41325706;5111867
32907667;2478162
40242534;1481343
20548488;3413262
23499813;4433321
13770265;2514344
40367953;5332413
34373398;5545361
